Question,Answer,Tags
How long is the Microsoft Security Operations Analyst Associate (SC-200) exam?,100 minutes,exam-logistics
How many questions are on the Microsoft Security Operations Analyst Associate (SC-200) exam?,40 to 60,exam-logistics
What is the passing score for Microsoft Security Operations Analyst Associate (SC-200)?,"700 / 1000 (scaled, not a percentage)",exam-logistics
What does the Microsoft Security Operations Analyst Associate (SC-200) exam cost?,$165,exam-logistics
How long is Microsoft Security Operations Analyst Associate (SC-200) valid for?,"1 year, renewable free on Microsoft Learn",exam-logistics
How is the Microsoft Security Operations Analyst Associate (SC-200) exam delivered?,Pearson VUE in-person or online proctored,exam-logistics
Home (microsoft defender xdr),"Customizable dashboard, secure score, threat analytics","notes,microsoft-defender-xdr"
Investigation & Response (microsoft defender xdr),Incidents & alerts - Unified incident queue with attack story,"notes,microsoft-defender-xdr"
Hunting (microsoft defender xdr),"Advanced hunting (KQL), custom detection rules","notes,microsoft-defender-xdr"
Action center (microsoft defender xdr),Pending and history of automated remediation,"notes,microsoft-defender-xdr"
Threat analytics (microsoft defender xdr),Microsoft TI threat reports with org impact,"notes,microsoft-defender-xdr"
Threat Intelligence (microsoft defender xdr),"Defender TI premium, intel profiles","notes,microsoft-defender-xdr"
Assets (microsoft defender xdr),"Devices, identities, mailboxes inventory","notes,microsoft-defender-xdr"
Microsoft Sentinel (microsoft defender xdr),"When Sentinel is integrated, incidents and hunting accessible here","notes,microsoft-defender-xdr"
Identities (microsoft defender xdr),Entra ID Protection insights,"notes,microsoft-defender-xdr"
Endpoints (microsoft defender xdr),"MDE-specific configuration, vulnerability management, baselines","notes,microsoft-defender-xdr"
Email & collaboration (microsoft defender xdr),"MDO-specific submissions, policies, Threat Explorer","notes,microsoft-defender-xdr"
Cloud apps (microsoft defender xdr),"MDA-specific app catalog, OAuth apps, governance log","notes,microsoft-defender-xdr"
Reports (microsoft defender xdr),"Email and collaboration, devices, identities reports","notes,microsoft-defender-xdr"
System (microsoft defender xdr),"Permissions, settings, integrations","notes,microsoft-defender-xdr"
Built-in roles (microsoft defender xdr),"Security Reader, Security Operator, Security Admin, etc.","notes,microsoft-defender-xdr"
Custom roles (microsoft defender xdr),"granular permissions across data sources, response actions, configuration","notes,microsoft-defender-xdr"
Data sources (microsoft defender xdr),"Endpoints, Office 365, Identity, Cloud Apps, Email & collaboration, Microsoft Secure Score","notes,microsoft-defender-xdr"
Permissions (microsoft defender xdr),"Read, Manage, Investigate, Respond","notes,microsoft-defender-xdr"
XDR -> Sentinel (microsoft defender xdr),"alerts and incidents flow into Sentinel via the Microsoft Defender XDR connector. Raw advanced hunting tables also available via ""Microsoft 365 Defender"" data connector.","notes,microsoft-defender-xdr"
Sentinel -> XDR (microsoft defender xdr),"with the integration enabled, Sentinel incidents created from non-Microsoft sources surface in the XDR portal too. Single incident queue across both.","notes,microsoft-defender-xdr"
Defender XDR portal (microsoft defender xdr),"day-to-day SOC operations on Microsoft-protected workloads, faster automation","notes,microsoft-defender-xdr"
Sentinel (microsoft defender xdr),"cross-cloud, custom log sources, long retention, complex SOAR workflows, multi-tenant MSSP","notes,microsoft-defender-xdr"
Microsoft Defender Threat Intelligence (Defender TI) (microsoft defender xdr),"premium TI portal with intel profiles, articles, IOC search","notes,microsoft-defender-xdr"
Threat actor profiles (microsoft defender xdr),"tracked groups (e.g., Midnight Blizzard, Diamond Sleet)","notes,microsoft-defender-xdr"
IOC search (microsoft defender xdr),"hash, domain, IP, URL lookups across XDR data","notes,microsoft-defender-xdr"
Intel projects (microsoft defender xdr),share TI within team,"notes,microsoft-defender-xdr"
Region (microsoft sentinel fundamentals),Pick a region close to data sources to minimize egress and latency. Cannot be changed after creation.,"notes,microsoft-sentinel-fundamentals"
Single vs multi-workspace (microsoft sentinel fundamentals),"Single workspace is easiest. Multi-workspace needed for data sovereignty, RBAC isolation, or MSSP scenarios.","notes,microsoft-sentinel-fundamentals"
Multi-tenant (microsoft sentinel fundamentals),Use Azure Lighthouse to delegate access to multiple customer tenants from a single MSSP workspace.,"notes,microsoft-sentinel-fundamentals"
Cross-workspace queries (microsoft sentinel fundamentals),"KQL workspace(""name"").Table syntax allows querying multiple workspaces at once.","notes,microsoft-sentinel-fundamentals"
Pricing tier (microsoft sentinel fundamentals),"Pay-as-you-go vs commitment tier (100, 200, 300, 400, 500, 1000, 2000, 5000+ GB/day).","notes,microsoft-sentinel-fundamentals"
Microsoft sources (microsoft sentinel fundamentals),"Microsoft 365 Defender, Defender for Cloud, Entra ID, Azure Activity, Office 365, Microsoft Purview Information Protection","notes,microsoft-sentinel-fundamentals"
Cloud platforms (microsoft sentinel fundamentals),"AWS (CloudTrail, GuardDuty, VPC Flow), GCP (Audit, Pub/Sub)","notes,microsoft-sentinel-fundamentals"
Network & security devices (microsoft sentinel fundamentals),"Palo Alto, Cisco, Fortinet, Check Point, Zscaler (CEF or syslog)","notes,microsoft-sentinel-fundamentals"
