Question,Answer,Tags
Characteristics (azure architecture),Each region is at least 300 miles from another region,"notes,azure-architecture"
Key Concepts (azure architecture),Region pairs: Most regions paired with another region for disaster recovery,"notes,azure-architecture"
Benefits (azure architecture),Protect against data center failures,"notes,azure-architecture"
Key Properties (azure architecture),All resources must belong to a resource group,"notes,azure-architecture"
Best Practices (azure architecture),"Group resources by lifecycle, application, or department","notes,azure-architecture"
Key Functions (azure architecture),Billing boundary (separate billing reports and invoices),"notes,azure-architecture"
Subscription Types (azure architecture),Free tier (12 months of popular services free),"notes,azure-architecture"
Hierarchy (azure architecture),Root management group (tenant level),"notes,azure-architecture"
Use Cases (azure architecture),Total control over operating system,"notes,azure-architecture"
VM Families (azure architecture),"General purpose: Balanced CPU-to-memory ratio (B, D, F series)","notes,azure-architecture"
Features (azure architecture),Built-in auto-scaling and load balancing,"notes,azure-architecture"
Types (azure architecture),Site-to-Site: Connect on-premises network to Azure VNet,"notes,azure-architecture"
VPN Types (azure architecture),Policy-based: Specify IP addresses to encrypt,"notes,azure-architecture"
Connectivity Models (azure architecture),Co-location at cloud exchange,"notes,azure-architecture"
Storage Tiers (azure architecture),Hot: Frequently accessed data,"notes,azure-architecture"
Blob Types (azure architecture),Block blobs: Text and binary data up to 4.7TB,"notes,azure-architecture"
Key Features (azure architecture),Authentication (verify identity),"notes,azure-architecture"
Factors (azure architecture),Something you know (password),"notes,azure-architecture"
Components (azure architecture),"Security principal: User, group, service principal, managed identity","notes,azure-architecture"
Built-in Roles (azure architecture),Owner (full access),"notes,azure-architecture"
Control Plane (azure core services),"Free, managed by Azure","notes,azure-core-services"
Node Pools (azure core services),Worker nodes (VMs),"notes,azure-core-services"
Pods (azure core services),Container instances,"notes,azure-core-services"
Services (azure core services),Network access to pods,"notes,azure-core-services"
Standard (azure core services),"HDD-based, cost-effective","notes,azure-core-services"
Premium (azure core services),"SSD-based, low latency","notes,azure-core-services"
Basic (azure core services),"Small scale, free","notes,azure-core-services"
Owner (azure core services),Full access including access management,"notes,azure-core-services"
Contributor (azure core services),"Create and manage resources, no access management","notes,azure-core-services"
Reader (azure core services),View resources only,"notes,azure-core-services"
User Access Administrator (azure core services),Manage user access,"notes,azure-core-services"
VMs (azure core services),"Full control, IaaS, lift-and-shift","notes,azure-core-services"
App Service (azure core services),"PaaS, web apps, auto-scale","notes,azure-core-services"
AKS (azure core services),Container orchestration,"notes,azure-core-services"
Functions (azure core services),"Serverless, event-driven, pay per execution","notes,azure-core-services"
Blob (azure core services),"Object storage, hot/cool/archive tiers","notes,azure-core-services"
Files (azure core services),SMB file shares,"notes,azure-core-services"
Redundancy (azure core services),"LRS (local), ZRS (zonal), GRS (geo), GZRS (both)","notes,azure-core-services"
VNet (azure core services),Private network in Azure,"notes,azure-core-services"
NSG (azure core services),Traffic filtering rules,"notes,azure-core-services"
VPN Gateway (azure core services),Encrypted connection over internet,"notes,azure-core-services"
ExpressRoute (azure core services),Private dedicated connection,"notes,azure-core-services"
Load Balancer (azure core services),Layer 4 load balancing,"notes,azure-core-services"
Application Gateway (azure core services),Layer 7 web traffic load balancing,"notes,azure-core-services"
SQL Database (azure core services),PaaS relational database,"notes,azure-core-services"
Cosmos DB (azure core services),"NoSQL, global distribution, multi-model","notes,azure-core-services"
SQL Managed Instance (azure core services),Near 100% SQL Server compatibility,"notes,azure-core-services"
Azure AD (azure core services),Cloud identity service,"notes,azure-core-services"
MFA (azure core services),Additional authentication factor,"notes,azure-core-services"
RBAC (azure core services),Permission management,"notes,azure-core-services"
Roles (azure core services),"Owner (full), Contributor (manage resources), Reader (view)","notes,azure-core-services"
Characteristics (cloud concepts),Large initial investment,"notes,cloud-concepts"
Use Cases (cloud concepts),Migrate existing applications to cloud,"notes,cloud-concepts"
Benefits (cloud concepts),Lower costs (no need to purchase hardware or software),"notes,cloud-concepts"
Considerations (cloud concepts),Less control over resources and security,"notes,cloud-concepts"
