Question,Answer,Tags
How long is the Microsoft Power BI Data Analyst (PL-300) exam?,100 minutes,exam-logistics
How many questions are on the Microsoft Power BI Data Analyst (PL-300) exam?,Typically 40-60,exam-logistics
What is the passing score for Microsoft Power BI Data Analyst (PL-300)?,700 out of 1000,exam-logistics
What does the Microsoft Power BI Data Analyst (PL-300) exam cost?,USD 165 (varies by country),exam-logistics
How long is Microsoft Power BI Data Analyst (PL-300) valid for?,"1 year, renewable free online through Microsoft Learn",exam-logistics
How is the Microsoft Power BI Data Analyst (PL-300) exam delivered?,"Pearson VUE, test center or online proctored",exam-logistics
Import mode (prepare the data),storage mode caching a compressed copy of the data in the model for fastest query performance,"notes,prepare-the-data"
DirectQuery (prepare the data),"storage mode leaving data in the source and querying it at interaction time, giving currency at the cost of speed","notes,prepare-the-data"
Dual mode (prepare the data),"storage mode allowing a table to act as Import or DirectQuery depending on the query, used for shared dimensions","notes,prepare-the-data"
Direct Lake (prepare the data),Fabric storage mode reading Parquet files directly from OneLake without an import step,"notes,prepare-the-data"
Composite model (prepare the data),a model combining tables in different storage modes,"notes,prepare-the-data"
Query folding (prepare the data),Power Query translating transformation steps into the source system's native query,"notes,prepare-the-data"
View Native Query (prepare the data),"the Power Query option revealing the generated source query, used to confirm folding","notes,prepare-the-data"
Data profiling (prepare the data),"Power Query column quality, distribution, and profile views used to assess data before transforming","notes,prepare-the-data"
Parameter (prepare the data),"a stored value referenced by queries, enabling portability and deployment pipeline rules","notes,prepare-the-data"
Dataflow (prepare the data),"a reusable, service-hosted Power Query preparation layer shared across models","notes,prepare-the-data"
Incremental refresh (prepare the data),"partitioned refresh of only recent data, requiring RangeStart and RangeEnd parameters and query folding","notes,prepare-the-data"
On-premises data gateway (prepare the data),the connector allowing the Power BI service to reach data sources that are not publicly accessible,"notes,prepare-the-data"
Fact table (model the data),"the events being measured. Long and narrow: keys plus numeric measures, at a defined grain.","notes,model-the-data"
Dimension tables (model the data),the things you slice by. Short and wide: a key plus descriptive attributes.,"notes,model-the-data"
Relationships (model the data),"one-to-many from dimension to fact, filtering in a single direction, from the one side to the many side.","notes,model-the-data"
Static (model the data),"[Region] = ""Europe"". One role per group, unmanageable at scale.","notes,model-the-data"
Dynamic (model the data),[Email] = USERPRINCIPALNAME() against a security dimension that relates through to the fact. One role serves everyone.,"notes,model-the-data"
Star schema (model the data),a model of a central fact table surrounded by dimension tables joined one-to-many,"notes,model-the-data"
Dimension table (model the data),a descriptive table used to slice and filter facts,"notes,model-the-data"
Cross-filter direction (model the data),whether a relationship propagates filters one way or both ways,"notes,model-the-data"
Inactive relationship (model the data),"an additional relationship between two tables, invoked with USERELATIONSHIP","notes,model-the-data"
Role-playing dimension (model the data),"a single dimension related multiple times to the same fact, such as a date table used for order and ship dates","notes,model-the-data"
Marked date table (model the data),a date table designated in the model so time intelligence functions behave correctly,"notes,model-the-data"
Calculated column (model the data),"a column computed at refresh and stored in the model, fixed at row level","notes,model-the-data"
Measure (model the data),a calculation evaluated at query time in the current filter context,"notes,model-the-data"
Row context (model the data),"the evaluation context knowing the current row, present in calculated columns and iterators","notes,model-the-data"
Filter context (model the data),"the set of filters applied when an expression evaluates, coming from visuals, slicers, and relationships","notes,model-the-data"
Context transition (model the data),the conversion of row context into filter context that CALCULATE performs,"notes,model-the-data"
CALCULATE (model the data),the DAX function that evaluates an expression in a modified filter context,"notes,model-the-data"
Iterator (model the data),a function such as SUMX that evaluates an expression per row before aggregating,"notes,model-the-data"
Calculation group (model the data),"a reusable set of calculation items applied across measures, replacing many similar measures","notes,model-the-data"
Row-level security (model the data),DAX filter expressions in roles that restrict which rows a user can see,"notes,model-the-data"
Object-level security (model the data),"restriction hiding entire tables or columns from a role, including from metadata","notes,model-the-data"
Drillthrough (visualize and analyze),navigation to a detail page filtered by the context selected in the source visual,"notes,visualize-and-analyze"
Report page tooltip (visualize and analyze),a page sized as a tooltip and assigned to a visual for rich hover content,"notes,visualize-and-analyze"
Bookmark (visualize and analyze),"a saved report state including filters, selections, sort, drill level, and visual visibility","notes,visualize-and-analyze"
Selection pane (visualize and analyze),the pane controlling visual visibility and tab order,"notes,visualize-and-analyze"
Sync slicer (visualize and analyze),a slicer whose selection applies across multiple report pages,"notes,visualize-and-analyze"
Edit interactions (visualize and analyze),"the setting controlling whether a selection in one visual filters, highlights, or ignores another","notes,visualize-and-analyze"
Key influencers (visualize and analyze),an AI visual identifying which factors most affect a chosen metric or outcome,"notes,visualize-and-analyze"
Decomposition tree (visualize and analyze),an AI visual breaking a measure down across dimensions with suggested next splits,"notes,visualize-and-analyze"
Smart narrative (visualize and analyze),an automatically generated text summary of a visual or report page,"notes,visualize-and-analyze"
