Question,Answer,Tags
How long is the Microsoft Identity and Access Administrator (SC-300) exam?,100 minutes,exam-logistics
How many questions are on the Microsoft Identity and Access Administrator (SC-300) exam?,Typically 40-60,exam-logistics
What is the passing score for Microsoft Identity and Access Administrator (SC-300)?,700 out of 1000,exam-logistics
What does the Microsoft Identity and Access Administrator (SC-300) exam cost?,USD 165 (varies by country),exam-logistics
How long is Microsoft Identity and Access Administrator (SC-300) valid for?,"1 year, renewable free online through Microsoft Learn",exam-logistics
How is the Microsoft Identity and Access Administrator (SC-300) exam delivered?,"Pearson VUE, test center or online proctored",exam-logistics
B2B collaboration (identities and tenant),invite external users as guests. Governed by external collaboration settings and cross-tenant access settings.,"notes,identities-and-tenant"
Cross-tenant access settings (identities and tenant),"inbound and outbound access per partner tenant, plus trust settings that let you accept MFA and device claims from the partner's tenant rather than forcing re-registration.","notes,identities-and-tenant"
B2B direct connect (identities and tenant),a trust for Teams shared channels without guest objects.,"notes,identities-and-tenant"
External ID for customers (CIAM) (identities and tenant),"consumer identity with user flows, custom branding, and social identity providers.","notes,identities-and-tenant"
Tenant (identities and tenant),"a dedicated instance of Microsoft Entra ID that acts as the boundary for identities, applications, and policy","notes,identities-and-tenant"
Administrative unit (identities and tenant),"a directory container that scopes a role assignment to a subset of users, groups, or devices","notes,identities-and-tenant"
Restricted management administrative unit (identities and tenant),an administrative unit whose members cannot be modified even by tenant-level administrators,"notes,identities-and-tenant"
Dynamic group (identities and tenant),a group whose membership is computed from an attribute rule rather than assigned manually,"notes,identities-and-tenant"
Group-based licensing (identities and tenant),assigning product licenses through group membership with automatic reconciliation,"notes,identities-and-tenant"
Entra Connect Sync (identities and tenant),the full-featured server-based directory synchronization engine supporting writeback and transformation,"notes,identities-and-tenant"
Entra Cloud Sync (identities and tenant),the lightweight cloud-managed synchronization agent supporting multiple disconnected forests,"notes,identities-and-tenant"
Password writeback (identities and tenant),the capability that pushes a cloud password change back to on-premises Active Directory,"notes,identities-and-tenant"
Entra joined (identities and tenant),a device joined directly to Entra ID with no on-premises domain membership,"notes,identities-and-tenant"
Hybrid Entra joined (identities and tenant),a device joined to on-premises Active Directory and registered in Entra ID,"notes,identities-and-tenant"
Privileged Authentication Administrator (identities and tenant),the role able to manage authentication methods for users who hold privileged roles,"notes,identities-and-tenant"
Sign-in risk (authentication and conditional access),"probability that the sign-in is not from the legitimate owner: anonymous IP, atypical travel, malware-linked IP, unfamiliar sign-in properties, token anomalies.","notes,authentication-and-conditional-access"
User risk (authentication and conditional access),"probability that the identity is compromised: leaked credentials, threat intelligence.","notes,authentication-and-conditional-access"
Risk policies (authentication and conditional access),"implemented as Conditional Access policies referencing risk level, typically ""require MFA on medium sign-in risk"" and ""require secure password change on high user risk"".","notes,authentication-and-conditional-access"
Remediation (authentication and conditional access),"self-remediation through MFA or password change, or admin dismissal, confirmation of compromise, or safe dismissal.","notes,authentication-and-conditional-access"
Entra Internet Access (authentication and conditional access),secure web gateway with Conditional Access applied to internet traffic,"notes,authentication-and-conditional-access"
Entra Private Access (authentication and conditional access),"Zero Trust network access to private applications, the successor pattern to VPN and an evolution of Application Proxy","notes,authentication-and-conditional-access"
Authentication methods policy (authentication and conditional access),the tenant policy defining which authentication methods users may register and use,"notes,authentication-and-conditional-access"
Authentication strength (authentication and conditional access),a named set of allowed authentication methods that a Conditional Access grant control can require,"notes,authentication-and-conditional-access"
Phishing-resistant MFA (authentication and conditional access),"authentication bound to the origin or hardware, such as FIDO2, Windows Hello for Business, or certificate-based authentication","notes,authentication-and-conditional-access"
Temporary Access Pass (authentication and conditional access),a time-limited passcode used to onboard or recover a user who cannot use their normal methods,"notes,authentication-and-conditional-access"
Combined registration (authentication and conditional access),a single experience registering a user for both MFA and self-service password reset,"notes,authentication-and-conditional-access"
Entra Password Protection (authentication and conditional access),"global and custom banned password lists, extendable to on-premises Active Directory","notes,authentication-and-conditional-access"
Report-only mode (authentication and conditional access),a Conditional Access state that logs the policy result without enforcing it,"notes,authentication-and-conditional-access"
Break-glass account (authentication and conditional access),an excluded emergency cloud-only administrator account protecting against tenant lockout,"notes,authentication-and-conditional-access"
Continuous access evaluation (authentication and conditional access),near real-time session re-evaluation triggered by critical events such as password change or account disablement,"notes,authentication-and-conditional-access"
Conditional Access App Control (authentication and conditional access),session control routing traffic through Defender for Cloud Apps for in-session monitoring and restriction,"notes,authentication-and-conditional-access"
Token protection (authentication and conditional access),a session control binding a refresh token to the device it was issued to,"notes,authentication-and-conditional-access"
Global Secure Access (authentication and conditional access),Entra's security service edge covering Internet Access and Private Access,"notes,authentication-and-conditional-access"
User consent settings (workload identities and apps),"allow for all apps, allow only for verified publishers and low-impact permissions, or disable entirely.","notes,workload-identities-and-apps"
Admin consent workflow (workload identities and apps),"users request, designated reviewers approve, with a record.","notes,workload-identities-and-apps"
Consent grant review (workload identities and apps),"periodically audit which apps hold which permissions, and revoke what is unused. Illicit consent grants are a real attack technique.","notes,workload-identities-and-apps"
