Question,Answer,Tags
id (cosmos db data modeling partitioning),Unique within partition (required),"notes,cosmos-db-data-modeling-partitioning"
_rid (cosmos db data modeling partitioning),Resource ID (internal),"notes,cosmos-db-data-modeling-partitioning"
_etag (cosmos db data modeling partitioning),Concurrency control,"notes,cosmos-db-data-modeling-partitioning"
_ts (cosmos db data modeling partitioning),Last modified timestamp,"notes,cosmos-db-data-modeling-partitioning"
Apache Cassandra compatible (cosmos db fundamentals),CQL (Cassandra Query Language),"notes,cosmos-db-fundamentals"
Gremlin query language (cosmos db fundamentals),"Best for: Social networks, recommendations","notes,cosmos-db-fundamentals"
Key-value store (cosmos db fundamentals),Upgrade from Azure Table Storage,"notes,cosmos-db-fundamentals"
"Highest consistency, lowest availability (cosmos db fundamentals)","Use: Financial transactions, inventory","notes,cosmos-db-fundamentals"
Reads lag by K versions or T time (cosmos db fundamentals),Predictable staleness,"notes,cosmos-db-fundamentals"
Read-your-own-writes (cosmos db fundamentals),Default consistency level,"notes,cosmos-db-fundamentals"
Reads never see out-of-order writes (cosmos db fundamentals),Use: Social media updates,"notes,cosmos-db-fundamentals"
"Lowest latency, highest availability (cosmos db fundamentals)","Use: View counts, non-critical data","notes,cosmos-db-fundamentals"
1 RU = Read 1KB item by ID and partition key (cosmos db fundamentals),Writes cost more than reads,"notes,cosmos-db-fundamentals"
Pay-per-request (cosmos db fundamentals),No capacity planning,"notes,cosmos-db-fundamentals"
Write to any region (cosmos db fundamentals),Conflict resolution policies,"notes,cosmos-db-fundamentals"
