Question,Answer,Tags
Characteristics (analytics workloads azure),Processes large volumes at once,"notes,analytics-workloads-azure"
Common Patterns (analytics workloads azure),Daily/hourly data imports,"notes,analytics-workloads-azure"
Use Cases (analytics workloads azure),Financial reporting and reconciliation,"notes,analytics-workloads-azure"
Characteristics (core data concepts),Fixed schema with defined relationships,"notes,core-data-concepts"
Common Formats (core data concepts),"Relational databases (SQL Server, PostgreSQL, MySQL)","notes,core-data-concepts"
Use Cases (core data concepts),"Transactional systems (e.g., e-commerce, banking)","notes,core-data-concepts"
Azure Services (core data concepts),Azure Blob Storage (object storage),"notes,core-data-concepts"
Relational Databases (core data concepts),Tables with defined relationships,"notes,core-data-concepts"
Non-Relational Databases (NoSQL) (core data concepts),Key-value stores: Simple lookup by key,"notes,core-data-concepts"
Common Scenarios (core data concepts),End-of-day financial reports,"notes,core-data-concepts"
Techniques (core data concepts),Data aggregation and summarization,"notes,core-data-concepts"
Examples (core data concepts),Monthly sales reports,"notes,core-data-concepts"
Choose the Right Chart Type (core data concepts),Bar/Column charts: Comparisons,"notes,core-data-concepts"
Design Best Practices (core data concepts),Keep visualizations simple and uncluttered,"notes,core-data-concepts"
Trade-offs (non relational data azure),Highest consistency,"notes,non-relational-data-azure"
Global Distribution (non relational data azure),Multi-region replication,"notes,non-relational-data-azure"
Partitioning (non relational data azure),Automatic horizontal scaling,"notes,non-relational-data-azure"
Request Units (RUs) (non relational data azure),Normalized cost of operations,"notes,non-relational-data-azure"
Consistency Levels (non relational data azure),5 well-defined levels,"notes,non-relational-data-azure"
Change Feed (non relational data azure),Log of all changes to containers,"notes,non-relational-data-azure"
Provisioned Throughput (non relational data azure),Pay for RU/s provisioned,"notes,non-relational-data-azure"
Serverless (non relational data azure),Pay per request (RU consumed),"notes,non-relational-data-azure"
Primary Key (relational data azure),Uniquely identifies each row in a table,"notes,relational-data-azure"
Foreign Key (relational data azure),References primary key in another table,"notes,relational-data-azure"
Composite Key (relational data azure),Primary key consisting of multiple columns,"notes,relational-data-azure"
Candidate Key (relational data azure),Columns that could serve as primary key,"notes,relational-data-azure"
Surrogate Key (relational data azure),Artificially created key (auto-increment ID),"notes,relational-data-azure"
Types (relational data azure),Clustered Index: Determines physical order of data (one per table),"notes,relational-data-azure"
Trade-offs (relational data azure),Improves SELECT performance,"notes,relational-data-azure"
Native Virtual Network (VNet) support (relational data azure),SQL Server Agent for job scheduling,"notes,relational-data-azure"
Cross-database queries (relational data azure),Native backup/restore from on-premises,"notes,relational-data-azure"
MySQL versions 5.7 and 8.0 (relational data azure),Automatic backups with point-in-time restore,"notes,relational-data-azure"
Built-in high availability (relational data azure),Automatic backups,"notes,relational-data-azure"
Read replicas for scaling (relational data azure),Advanced security features,"notes,relational-data-azure"
Transparent Data Encryption (TDE) (relational data azure),"Encrypts database, backups, and logs","notes,relational-data-azure"
Always Encrypted (relational data azure),Encrypts specific columns,"notes,relational-data-azure"
TLS/SSL encryption (relational data azure),Enabled by default,"notes,relational-data-azure"
Azure Key Vault integration (relational data azure),Store encryption keys securely,"notes,relational-data-azure"
SQL Database vs Managed Instance vs SQL VM (relational data azure),"SQL Database: Highest abstraction, best for new apps","notes,relational-data-azure"
Deployment model choice (relational data azure),PaaS for management simplicity,"notes,relational-data-azure"
