Question,Answer,Tags
How long is the Azure AZ-305: Designing Microsoft Azure Infrastructure Solutions exam?,120 minutes (2 hours),exam-logistics
How many questions are on the Azure AZ-305: Designing Microsoft Azure Infrastructure Solutions exam?,40-60 questions (case studies + multiple choice),exam-logistics
What is the passing score for Azure AZ-305: Designing Microsoft Azure Infrastructure Solutions?,700/1000,exam-logistics
What does the Azure AZ-305: Designing Microsoft Azure Infrastructure Solutions exam cost?,$165 USD,exam-logistics
How long is Azure AZ-305: Designing Microsoft Azure Infrastructure Solutions valid for?,1 year (renewable annually),exam-logistics
Event-driven (compute containers),Triggered by various Azure services,"notes,compute-containers"
Automatic scaling (compute containers),From 0 to thousands of instances,"notes,compute-containers"
No server management (compute containers),Azure handles infrastructure,"notes,compute-containers"
Pay per execution (compute containers),Charge only for compute time used,"notes,compute-containers"
Multiple languages (compute containers),"C#, JavaScript, Python, Java, PowerShell","notes,compute-containers"
HTTP/HTTPS (compute containers),"REST APIs, webhooks","notes,compute-containers"
Timer (compute containers),Scheduled execution (cron),"notes,compute-containers"
Blob Storage (compute containers),File upload/modification,"notes,compute-containers"
Queue Storage (compute containers),Message processing,"notes,compute-containers"
Service Bus (compute containers),Enterprise messaging,"notes,compute-containers"
Cosmos DB (compute containers),Database changes,"notes,compute-containers"
Deployment slots (compute containers),Staging and production environments,"notes,compute-containers"
Application settings (compute containers),Environment variables and secrets,"notes,compute-containers"
CORS support (compute containers),Cross-origin resource sharing,"notes,compute-containers"
Authentication (compute containers),Built-in identity providers,"notes,compute-containers"
Monitoring (compute containers),Application Insights integration,"notes,compute-containers"
Web Apps (compute containers),".NET, Java, PHP, Node.js, Python, Ruby","notes,compute-containers"
API Apps (compute containers),RESTful web services,"notes,compute-containers"
Mobile Apps (compute containers),Mobile backend services,"notes,compute-containers"
Function Apps (compute containers),Serverless functions,"notes,compute-containers"
Auto-scaling (compute containers),Scale based on metrics,"notes,compute-containers"
Custom domains (compute containers),Bring your own domain,"notes,compute-containers"
SSL certificates (compute containers),Free and custom certificates,"notes,compute-containers"
Continuous deployment (compute containers),"Git, GitHub, Azure DevOps integration","notes,compute-containers"
Serverless containers (compute containers),No VM management,"notes,compute-containers"
Fast startup (compute containers),Containers start in seconds,"notes,compute-containers"
Per-second billing (compute containers),Pay only for running time,"notes,compute-containers"
Public/private (compute containers),Internet-accessible or VNet-connected,"notes,compute-containers"
Persistent storage (compute containers),Azure Files mounting,"notes,compute-containers"
Batch jobs (compute containers),Data processing tasks,"notes,compute-containers"
Build agents (compute containers),CI/CD pipeline runners,"notes,compute-containers"
Application testing (compute containers),Isolated test environments,"notes,compute-containers"
Burst scaling (compute containers),Overflow capacity for AKS,"notes,compute-containers"
Managed control plane (compute containers),Azure manages master nodes,"notes,compute-containers"
Integrated monitoring (compute containers),Azure Monitor for containers,"notes,compute-containers"
Azure AD integration (compute containers),RBAC with enterprise identity,"notes,compute-containers"
Virtual Node (compute containers),Serverless pods with ACI,"notes,compute-containers"
Dev Spaces (compute containers),Kubernetes development environments,"notes,compute-containers"
Cluster Autoscaler (compute containers),Add/remove nodes based on demand,"notes,compute-containers"
Horizontal Pod Autoscaler (compute containers),Scale pods based on metrics,"notes,compute-containers"
Vertical Pod Autoscaler (compute containers),Adjust pod resource requests,"notes,compute-containers"
Geo-replication (compute containers),Replicate across regions,"notes,compute-containers"
Security scanning (compute containers),Vulnerability assessment,"notes,compute-containers"
Content trust (compute containers),Signed image validation,"notes,compute-containers"
Helm charts (compute containers),Store Kubernetes applications,"notes,compute-containers"
Tasks (compute containers),Build images in the cloud,"notes,compute-containers"
Pool (compute containers),Collection of compute nodes,"notes,compute-containers"
Job (compute containers),Logical grouping of tasks,"notes,compute-containers"
Task (compute containers),Individual unit of work,"notes,compute-containers"
Application Package (compute containers),Software deployed to nodes,"notes,compute-containers"
Financial modeling (compute containers),"Risk analysis, portfolio optimization","notes,compute-containers"
Digital media (compute containers),"Video transcoding, 3D rendering","notes,compute-containers"
Engineering (compute containers),"CAD, simulation, analysis","notes,compute-containers"
Scientific computing (compute containers),"Research, data processing","notes,compute-containers"
Fixed (compute containers),Predetermined number of nodes,"notes,compute-containers"
Auto-scale (compute containers),Dynamic scaling based on formulas,"notes,compute-containers"
Low-priority VMs (compute containers),Use spot instances for cost savings,"notes,compute-containers"
Stateless services (compute containers),No local state storage,"notes,compute-containers"
Stateful services (compute containers),Reliable local state storage,"notes,compute-containers"
Actor model (compute containers),Virtual actor programming model,"notes,compute-containers"
Guest executables (compute containers),Existing applications,"notes,compute-containers"
Self-healing (compute containers),Automatic failure detection and recovery,"notes,compute-containers"
Rolling upgrades (compute containers),Zero-downtime deployments,"notes,compute-containers"
Service discovery (compute containers),Built-in service location,"notes,compute-containers"
Health monitoring (compute containers),Application and infrastructure health,"notes,compute-containers"
Frontend (compute containers),App Service Web App,"notes,compute-containers"
API (compute containers),App Service API App or Azure Functions,"notes,compute-containers"
Background processing (compute containers),Azure Functions,"notes,compute-containers"
Static content (compute containers),Azure Storage + CDN,"notes,compute-containers"
Database (compute containers),Azure SQL Database,"notes,compute-containers"
Container platform (compute containers),Azure Kubernetes Service,"notes,compute-containers"
Service mesh (compute containers),Istio or Linkerd,"notes,compute-containers"
Load balancing (compute containers),Azure Load Balancer,"notes,compute-containers"
Registry (compute containers),Azure Container Registry,"notes,compute-containers"
Processing (compute containers),Custom applications in containers,"notes,compute-containers"
Results (compute containers),Azure Storage or databases,"notes,compute-containers"
