Question,Answer,Tags
How long is the Microsoft Certified: Azure Network Engineer Associate (AZ-700) exam?,100 minutes,exam-logistics
What is the passing score for Microsoft Certified: Azure Network Engineer Associate (AZ-700)?,700/1000,exam-logistics
What does the Microsoft Certified: Azure Network Engineer Associate (AZ-700) exam cost?,$165 USD,exam-logistics
NIC level (vnets and core networking),"per VM, granular","notes,vnets-and-core-networking"
Subnet level (vnets and core networking),across all NICs in subnet,"notes,vnets-and-core-networking"
Allow virtual network access (vnets and core networking),default yes; lets resources in peered VNet reach each other,"notes,vnets-and-core-networking"
Allow forwarded traffic (vnets and core networking),"permit traffic that didn't originate in the peered VNet (e.g., transiting through it)","notes,vnets-and-core-networking"
Allow gateway transit (vnets and core networking),share VPN/ExpressRoute gateway with the peer,"notes,vnets-and-core-networking"
Use remote gateway (vnets and core networking),the peer is using your gateway,"notes,vnets-and-core-networking"
OpenVPN (hybrid connectivity),"cross-platform, supports Azure AD auth","notes,hybrid-connectivity"
IKEv2 (hybrid connectivity),"cross-platform, certificate auth","notes,hybrid-connectivity"
SSTP (hybrid connectivity),"Windows-only, used for legacy","notes,hybrid-connectivity"
Private peering (hybrid connectivity),your VNets (most common). Connect via ExpressRoute Gateway in your VNet.,"notes,hybrid-connectivity"
Microsoft peering (hybrid connectivity),"Microsoft public services (Office 365, Dynamics 365, public Azure endpoints) over the ER circuit instead of internet.","notes,hybrid-connectivity"
Cloud Exchange Co-location (hybrid connectivity),your circuit terminates in a colocation facility with both on-prem and ER PoP,"notes,hybrid-connectivity"
Point-to-point Ethernet (hybrid connectivity),dedicated Ethernet from on-prem to ER PoP via your provider,"notes,hybrid-connectivity"
Any-to-any (IPVPN) (hybrid connectivity),your provider's MPLS network includes Azure,"notes,hybrid-connectivity"
Hub VNet connections (hybrid connectivity),your spoke VNets connect to a hub,"notes,hybrid-connectivity"
VPN sites (hybrid connectivity),on-prem locations with VPN connectivity to hubs,"notes,hybrid-connectivity"
ExpressRoute connections (hybrid connectivity),circuits to hubs,"notes,hybrid-connectivity"
Azure Private DNS resolver (hybrid connectivity),hosts a DNS resolver in your VNet that on-prem can query (forwarded from on-prem DNS),"notes,hybrid-connectivity"
Frontend IP (load balancing and traffic),public or private,"notes,load-balancing-and-traffic"
Backend pool (load balancing and traffic),VMs / Scale Sets / NICs,"notes,load-balancing-and-traffic"
Health probe (load balancing and traffic),"TCP, HTTP/HTTPS","notes,load-balancing-and-traffic"
Load balancing rule (load balancing and traffic),frontend → backend with port mapping,"notes,load-balancing-and-traffic"
Inbound NAT rule (load balancing and traffic),"port forward to specific backend (e.g., RDP to a specific VM)","notes,load-balancing-and-traffic"
Outbound rule (load balancing and traffic),SNAT to provide outbound internet from private VMs,"notes,load-balancing-and-traffic"
5-tuple (load balancing and traffic),"default (source IP, source port, dest IP, dest port, protocol)","notes,load-balancing-and-traffic"
3-tuple (load balancing and traffic),source IP affinity,"notes,load-balancing-and-traffic"
2-tuple (load balancing and traffic),"source IP affinity, sticky across protocols/ports","notes,load-balancing-and-traffic"
Path-based routing (load balancing and traffic),"/api/* to pool A, /web/* to pool B","notes,load-balancing-and-traffic"
Multi-site hosting (load balancing and traffic),multiple FQDNs on one Application Gateway,"notes,load-balancing-and-traffic"
SSL termination (load balancing and traffic),decrypt at the gateway,"notes,load-balancing-and-traffic"
End-to-end TLS (load balancing and traffic),re-encrypt to backend,"notes,load-balancing-and-traffic"
WAF (Web Application Firewall) (load balancing and traffic),"OWASP rules, custom rules, bot protection (with WAF v2 SKU)","notes,load-balancing-and-traffic"
Standard_v2 (load balancing and traffic),"modern, autoscaling, zone-redundant, no WAF","notes,load-balancing-and-traffic"
WAF_v2 (load balancing and traffic),everything in Standard_v2 + WAF,"notes,load-balancing-and-traffic"
Front Door Standard (load balancing and traffic),core L7 + CDN; lightweight WAF rules,"notes,load-balancing-and-traffic"
Front Door Premium (load balancing and traffic),"everything + advanced WAF (managed bot rules, ML-based filtering, private link to origins, custom WAF rules)","notes,load-balancing-and-traffic"
Front Door (Standard / Premium) (load balancing and traffic),the modern Microsoft CDN + edge service,"notes,load-balancing-and-traffic"
Azure CDN from Edgio (formerly Verizon) (load balancing and traffic),"legacy, retiring","notes,load-balancing-and-traffic"
Azure CDN Standard from Microsoft (load balancing and traffic),"legacy, retiring; replaced by Front Door","notes,load-balancing-and-traffic"
Virtual Appliance (routing and firewall),send to a VM IP (firewall NVA),"notes,routing-and-firewall"
Virtual Network Gateway (routing and firewall),send to VPN/ER Gateway,"notes,routing-and-firewall"
Internet (routing and firewall),direct internet,"notes,routing-and-firewall"
Autonomous System Number (ASN) (routing and firewall),identifier for a BGP routing domain,"notes,routing-and-firewall"
Network rules (routing and firewall),"L3/L4 (source, dest, port, protocol)","notes,routing-and-firewall"
Application rules (routing and firewall),"L7, FQDN-based (e.g., allow *.microsoft.com)","notes,routing-and-firewall"
NAT rules (routing and firewall),DNAT for inbound (publish a port to internal IP),"notes,routing-and-firewall"
Log Analytics workspace (private link and monitoring),"query with KQL, dashboards","notes,private-link-and-monitoring"
Azure Storage (private link and monitoring),long-term archive,"notes,private-link-and-monitoring"
Event Hubs (private link and monitoring),real-time processing / SIEM ingest,"notes,private-link-and-monitoring"
