Question,Answer,Tags
How long is the Microsoft Information Security Administrator (SC-401) exam?,100 minutes,exam-logistics
How many questions are on the Microsoft Information Security Administrator (SC-401) exam?,Typically 40-60,exam-logistics
What is the passing score for Microsoft Information Security Administrator (SC-401)?,700 out of 1000,exam-logistics
What does the Microsoft Information Security Administrator (SC-401) exam cost?,USD 165 (varies by country),exam-logistics
How long is Microsoft Information Security Administrator (SC-401) valid for?,"1 year, renewable free online through Microsoft Learn",exam-logistics
How is the Microsoft Information Security Administrator (SC-401) exam delivered?,"Pearson VUE, test center or online proctored",exam-logistics
Items (information protection),"files and emails, plus meetings","notes,information-protection"
Groups and sites (information protection),"Teams, Microsoft 365 groups, SharePoint sites (privacy, external sharing, device access)","notes,information-protection"
Schematized data assets (information protection),database columns and data assets in the Purview data map,"notes,information-protection"
Encryption (information protection),"permissions assigned to users, groups, or user-defined; usage rights (view, edit, print, copy, forward); expiry; offline access period","notes,information-protection"
Content marking (information protection),"header, footer, watermark","notes,information-protection"
Site and group settings (information protection),"external sharing, unmanaged device access, privacy","notes,information-protection"
Priority (information protection),labels lower in the list are more sensitive; a higher-sensitivity label overrides a lower one when both apply,"notes,information-protection"
Inheritance (information protection),an email inherits the highest-sensitivity label of its attachments,"notes,information-protection"
Sensitive information type (information protection),a definition that identifies specific data patterns such as credit card or national identifier numbers,"notes,information-protection"
Exact data match (information protection),classification that matches against hashed values from an authoritative uploaded table rather than a pattern,"notes,information-protection"
Document fingerprinting (information protection),classification based on the structure of a known form or template,"notes,information-protection"
Trainable classifier (information protection),a machine-learned classifier identifying categories of content that cannot be expressed as a pattern,"notes,information-protection"
Confidence level (information protection),how much corroborating evidence a sensitive information type requires before declaring a match,"notes,information-protection"
Sensitivity label (information protection),"a Purview classification that can apply encryption, content marking, and access restriction traveling with the content","notes,information-protection"
Label policy (information protection),"the policy that publishes labels to users and sets defaults, mandatory labeling, and downgrade justification","notes,information-protection"
Label priority (information protection),the ordering that determines which label wins when more than one could apply,"notes,information-protection"
Client-side auto-labeling (information protection),label application in Office apps as the user works with a document,"notes,information-protection"
Service-side auto-labeling policy (information protection),"label application at rest and in transit by the service, supporting simulation mode","notes,information-protection"
Simulation mode (information protection),a dry run of an auto-labeling policy that reports what would be labeled without applying anything,"notes,information-protection"
Double Key Encryption (information protection),"encryption using a customer-held key alongside the Microsoft key, at the cost of service-side capabilities","notes,information-protection"
Purview Information Protection scanner (information protection),the on-premises component discovering and labeling files on file shares,"notes,information-protection"
DSPM for AI (information protection),Purview reporting on sensitive data touched by AI interactions including Microsoft 365 Copilot,"notes,information-protection"
Restricted apps and app groups (data loss prevention),name applications that may not access protected content.,"notes,data-loss-prevention"
Unallowed browsers (data loss prevention),"uploads through a browser that is not policy-aware are blocked rather than monitored, which is how personal cloud storage uploads are stopped.","notes,data-loss-prevention"
Service domains (data loss prevention),allow or block lists governing where content may be uploaded.,"notes,data-loss-prevention"
