Question,Answer,Tags
How long is the Microsoft Certified: Fabric Data Engineer Associate (DP-700) exam?,100 minutes,exam-logistics
What is the passing score for Microsoft Certified: Fabric Data Engineer Associate (DP-700)?,700/1000,exam-logistics
What does the Microsoft Certified: Fabric Data Engineer Associate (DP-700) exam cost?,$165 USD,exam-logistics
How long is Microsoft Certified: Fabric Data Engineer Associate (DP-700) valid for?,1 year (free annual renewal via Microsoft Learn),exam-logistics
My Workspace (fabric architecture and workspaces),"personal, no capacity assigned by default","notes,fabric-architecture-and-workspaces"
Standard workspace (fabric architecture and workspaces),the normal multi-user workspace (must be assigned to Fabric capacity for Fabric workloads),"notes,fabric-architecture-and-workspaces"
Bursting (fabric architecture and workspaces),workloads can temporarily exceed capacity ceiling,"notes,fabric-architecture-and-workspaces"
Smoothing (fabric architecture and workspaces),24-hour smoothing window evens out short bursts,"notes,fabric-architecture-and-workspaces"
Throttling (fabric architecture and workspaces),"if sustained over-consumption breaches the smoothing budget, jobs get delayed/throttled","notes,fabric-architecture-and-workspaces"
Copy Data (ingestion pipelines eventstream),the bulk copy primitive (200+ connectors),"notes,ingestion-pipelines-eventstream"
Notebook (ingestion pipelines eventstream),run a Fabric notebook,"notes,ingestion-pipelines-eventstream"
Spark Job Definition (ingestion pipelines eventstream),parameterized Spark job,"notes,ingestion-pipelines-eventstream"
Stored Procedure (ingestion pipelines eventstream),on Fabric Warehouse or Azure SQL,"notes,ingestion-pipelines-eventstream"
Starter Pool (ingestion pipelines eventstream),"shared, fast startup, good for development","notes,ingestion-pipelines-eventstream"
Custom Pool (ingestion pipelines eventstream),"configurable nodes, version, libraries; better for prod jobs","notes,ingestion-pipelines-eventstream"
Workspace-default Spark settings (ingestion pipelines eventstream),applied if pool not specified,"notes,ingestion-pipelines-eventstream"
Lakehouse (ingestion pipelines eventstream),lands as Delta in OneLake,"notes,ingestion-pipelines-eventstream"
KQL Database / Eventhouse (ingestion pipelines eventstream),real-time analytics,"notes,ingestion-pipelines-eventstream"
Reflex (ingestion pipelines eventstream),reactive item that triggers actions on conditions,"notes,ingestion-pipelines-eventstream"
Custom endpoint (ingestion pipelines eventstream),send to your own listener,"notes,ingestion-pipelines-eventstream"
Files (lakehouse warehouse notebooks),"any format (CSV, JSON, Parquet, semi-structured); accessed by path","notes,lakehouse-warehouse-notebooks"
Tables (lakehouse warehouse notebooks),Delta-formatted tables; queryable via Spark and the SQL endpoint,"notes,lakehouse-warehouse-notebooks"
Starter Pool (lakehouse warehouse notebooks),"shared, ~30s startup","notes,lakehouse-warehouse-notebooks"
Custom Pool (lakehouse warehouse notebooks),"configured nodes, libraries, version; ~1-3min startup but reproducible","notes,lakehouse-warehouse-notebooks"
Import (lakehouse warehouse notebooks),data is loaded into the model; refresh required; bound by model size,"notes,lakehouse-warehouse-notebooks"
DirectQuery (lakehouse warehouse notebooks),data stays at source; every query goes to source; latency varies,"notes,lakehouse-warehouse-notebooks"
Direct Lake (lakehouse warehouse notebooks),"data is read on-demand from Delta files in OneLake into Power BI's analysis services engine; no import, no DirectQuery latency, no refresh schedule","notes,lakehouse-warehouse-notebooks"
Service Principals (security governance deployment),app identities (created in Entra ID),"notes,security-governance-deployment"
Managed Identities (security governance deployment),Fabric-managed app identities for calling external services without storing credentials,"notes,security-governance-deployment"
General (security governance deployment),Confidential (often with sub-tiers),"notes,security-governance-deployment"
Data Catalog (security governance deployment),"auto-discovers Fabric items, makes them searchable","notes,security-governance-deployment"
Data Lineage (security governance deployment),traces flow from source to Lakehouse to report,"notes,security-governance-deployment"
Data Quality (security governance deployment),"measures freshness, completeness, validity","notes,security-governance-deployment"
Policies (security governance deployment),"centralize access policy across Fabric, Synapse, Snowflake, SQL DB, etc.","notes,security-governance-deployment"
Private Link to OneLake (security governance deployment),prevent OneLake access from the public internet,"notes,security-governance-deployment"
Trusted workspace access (security governance deployment),allow specific workspaces to access firewalled Azure resources,"notes,security-governance-deployment"
Outbound rules from Spark (security governance deployment),restrict where notebooks can call out,"notes,security-governance-deployment"
CU consumption over time (monitoring optimization),"who consumed what, when","notes,monitoring-optimization"
Throttling indicators (monitoring optimization),any operations delayed because of capacity over-utilization,"notes,monitoring-optimization"
Top consumers (monitoring optimization),which items / users / operations used the most CUs,"notes,monitoring-optimization"
Background vs interactive (monitoring optimization),"pipeline / Spark consumption (background, smoothed) vs Power BI reports (interactive, less smoothed)","notes,monitoring-optimization"
Auto-distribution (monitoring optimization),the Warehouse picks distribution; less manual tuning than Synapse Dedicated SQL Pool,"notes,monitoring-optimization"
Result-set caching (monitoring optimization),identical queries served from cache,"notes,monitoring-optimization"
Statistics (monitoring optimization),"automatic, kept fresh","notes,monitoring-optimization"
Distribution column hints (monitoring optimization),for very large fact tables,"notes,monitoring-optimization"
Join hints (monitoring optimization),"broadcast small tables: df.join(broadcast(small_df), ""key"")","notes,monitoring-optimization"
Repartition wisely (monitoring optimization),"don't repartition unnecessarily, target ~128MB per partition","notes,monitoring-optimization"
Parallel For Each (monitoring optimization),increase concurrency for embarrassingly-parallel iteration,"notes,monitoring-optimization"
Activity timeout (monitoring optimization),set per activity to fail fast,"notes,monitoring-optimization"
Retry policies (monitoring optimization),sane retry counts (3) and backoff,"notes,monitoring-optimization"
Right-size capacity (monitoring optimization),don't over-provision,"notes,monitoring-optimization"
Schedule heavy work off-peak (monitoring optimization),smoothing window absorbs bursts,"notes,monitoring-optimization"
