Question,Answer,Tags
How long is the Microsoft Cybersecurity Architect (SC-100) exam?,120 minutes,exam-logistics
How many questions are on the Microsoft Cybersecurity Architect (SC-100) exam?,Typically 40-60,exam-logistics
What is the passing score for Microsoft Cybersecurity Architect (SC-100)?,700 out of 1000,exam-logistics
What does the Microsoft Cybersecurity Architect (SC-100) exam cost?,USD 165 (varies by country),exam-logistics
How long is Microsoft Cybersecurity Architect (SC-100) valid for?,"1 year, renewable free online through Microsoft Learn",exam-logistics
How is the Microsoft Cybersecurity Architect (SC-100) exam delivered?,"Pearson VUE, test center or online proctored",exam-logistics
Zero Trust (security strategy and frameworks),"a security model based on verifying explicitly, granting least privilege access, and assuming breach rather than trusting a network perimeter","notes,security-strategy-and-frameworks"
MCRA (security strategy and frameworks),"Microsoft Cybersecurity Reference Architectures, the reference diagrams mapping Microsoft security capabilities to attack surfaces","notes,security-strategy-and-frameworks"
Microsoft Cloud Security Benchmark (security strategy and frameworks),"Microsoft's control baseline in Defender for Cloud, mapped to CIS, NIST SP 800-53, and PCI DSS","notes,security-strategy-and-frameworks"
Enterprise access model (security strategy and frameworks),"the successor to the AD tier model, organizing privileged access by control, management, and data planes","notes,security-strategy-and-frameworks"
Blast radius (security strategy and frameworks),"the extent of damage a single compromise can cause, reduced through segmentation and privilege separation","notes,security-strategy-and-frameworks"
Immutable vault (security strategy and frameworks),a Recovery Services vault configuration preventing backup deletion or retention reduction within the retention period,"notes,security-strategy-and-frameworks"
Multi-user authorization (security strategy and frameworks),"a Recovery Services vault protection requiring a second approver, through a Resource Guard, for destructive operations","notes,security-strategy-and-frameworks"
Landing zone (security strategy and frameworks),"a pre-provisioned, governed environment with policy, identity, networking, and monitoring already in place","notes,security-strategy-and-frameworks"
Management group (security strategy and frameworks),an Azure hierarchy scope above subscriptions where policy and RBAC are assigned for consistent governance,"notes,security-strategy-and-frameworks"
deployIfNotExists (security strategy and frameworks),an Azure Policy effect that remediates non-compliant resources by deploying the missing configuration,"notes,security-strategy-and-frameworks"
RPO (security strategy and frameworks),"recovery point objective, the maximum acceptable data loss measured in time","notes,security-strategy-and-frameworks"
RTO (security strategy and frameworks),"recovery time objective, the maximum acceptable time to restore service after an incident","notes,security-strategy-and-frameworks"
B2B collaboration (security operations identity compliance),invite external users as guests into your tenant. Default for partner and contractor access.,"notes,security-operations-identity-compliance"
B2B direct connect (security operations identity compliance),trust relationship for Teams shared channels.,"notes,security-operations-identity-compliance"
External ID for customers (CIAM) (security operations identity compliance),"consumer-facing identity, formerly B2C.","notes,security-operations-identity-compliance"
Cross-tenant access settings (security operations identity compliance),"govern which external tenants can collaborate, and whether MFA claims from the home tenant are trusted.","notes,security-operations-identity-compliance"
Entitlement management (security operations identity compliance),"access packages bundling groups, apps, and SharePoint sites with an approval workflow and expiry. The answer for contractor and project-based access at scale.","notes,security-operations-identity-compliance"
Access reviews (security operations identity compliance),"recurring recertification of group membership, app assignment, and role assignment, with auto-remove on no response.","notes,security-operations-identity-compliance"
Lifecycle workflows (security operations identity compliance),"automated joiner, mover, and leaver tasks.","notes,security-operations-identity-compliance"
Permissions Management (security operations identity compliance),"CIEM across Azure, AWS, and GCP, reporting the gap between granted and used permissions.","notes,security-operations-identity-compliance"
Workspace strategy (security operations identity compliance),"driven by data residency and tenancy, not by subscription count. Fewer workspaces are cheaper and easier to hunt across; residency and tenant boundaries force splits.","notes,security-operations-identity-compliance"
Cost levers (security operations identity compliance),"which connectors are enabled, table-level retention, Basic and Auxiliary log tiers for high-volume low-value tables, archive tier for long retention, and commitment tiers for predictable volume.","notes,security-operations-identity-compliance"
Content (security operations identity compliance),"analytics rules (scheduled, NRT, anomaly, threat intelligence), watchlists, workbooks, hunting queries, and playbooks built on Logic Apps.","notes,security-operations-identity-compliance"
Purview Compliance Manager (security operations identity compliance),"assessments per regulation, improvement actions, and a compliance score. The workflow and evidence layer.","notes,security-operations-identity-compliance"
Azure Policy initiatives (security operations identity compliance),"the enforcement layer. Regulatory initiatives (ISO 27001, PCI DSS, NIST SP 800-53, CIS) assigned at management group scope.","notes,security-operations-identity-compliance"
Defender for Cloud regulatory compliance dashboard (security operations identity compliance),the reporting layer showing control state across connected environments including AWS and GCP.,"notes,security-operations-identity-compliance"
Conditional Access (security operations identity compliance),Entra ID policy engine that evaluates signals at sign-in and applies access controls such as MFA or device compliance requirements,"notes,security-operations-identity-compliance"
Break-glass account (security operations identity compliance),an emergency cloud-only administrative account excluded from Conditional Access policies to prevent lockout,"notes,security-operations-identity-compliance"
PIM (security operations identity compliance),"Privileged Identity Management, providing just-in-time, time-bound, approval-gated activation of privileged roles","notes,security-operations-identity-compliance"
Access review (security operations identity compliance),a recurring recertification of access assignments that can automatically remove access when reviewers do not respond,"notes,security-operations-identity-compliance"
Password hash sync (security operations identity compliance),"hybrid identity method syncing a hash of the on-premises password hash to Entra ID, enabling cloud authentication and leaked credential detection","notes,security-operations-identity-compliance"
Pass-through authentication (security operations identity compliance),"hybrid identity method validating passwords against on-premises AD through lightweight agents, storing no hash in the cloud","notes,security-operations-identity-compliance"
Azure Lighthouse (security operations identity compliance),delegated resource management enabling cross-tenant administration without migrating identities,"notes,security-operations-identity-compliance"
Defender XDR (security operations identity compliance),"Microsoft's extended detection and response platform correlating signals across endpoint, identity, email, SaaS, and cloud","notes,security-operations-identity-compliance"
Analytics rule (security operations identity compliance),a Sentinel detection that queries ingested data on a schedule or in near real time and raises incidents,"notes,security-operations-identity-compliance"
Basic and Auxiliary logs (security operations identity compliance),lower-cost Sentinel ingestion tiers for high-volume tables with reduced query capability,"notes,security-operations-identity-compliance"
Secure score (infrastructure security design),weighted measure of recommendation compliance,"notes,infrastructure-security-design"
Recommendations (infrastructure security design),misconfiguration findings mapped to MCSB controls,"notes,infrastructure-security-design"
Regulatory compliance dashboard (infrastructure security design),control state against assigned initiatives,"notes,infrastructure-security-design"
Hub-and-spoke (infrastructure security design),"shared services and inspection in the hub, workloads in spokes. The default answer.","notes,infrastructure-security-design"
Virtual WAN (infrastructure security design),Microsoft-managed hub for large-scale branch and global connectivity. Choose when the scenario has many branches or regions and operational simplicity is prioritized.,"notes,infrastructure-security-design"
Subscription and management group alignment (infrastructure security design),"compliance boundaries should coincide with subscription boundaries so policy, RBAC, and audit scope are clean.","notes,infrastructure-security-design"
CSPM (infrastructure security design),"Cloud Security Posture Management, the configuration and compliance half of Defender for Cloud","notes,infrastructure-security-design"
CWP (infrastructure security design),"Cloud Workload Protection, the runtime threat detection half, licensed per resource plan","notes,infrastructure-security-design"
Attack path analysis (infrastructure security design),Defender CSPM feature that chains findings into exploitable routes to a critical asset,"notes,infrastructure-security-design"
Just-in-time VM access (infrastructure security design),Defender for Servers feature that keeps management ports closed and opens them on approved request for a limited time,"notes,infrastructure-security-design"
Azure Arc (infrastructure security design),"service that projects non-Azure servers, Kubernetes clusters, and data services into Azure Resource Manager for governance","notes,infrastructure-security-design"
Service endpoint (infrastructure security design),subnet configuration routing PaaS traffic over the Microsoft backbone while the resource retains a public IP,"notes,infrastructure-security-design"
Private endpoint (infrastructure security design),"a network interface giving a PaaS resource a private IP inside a VNet, requiring matching private DNS","notes,infrastructure-security-design"
Application security group (infrastructure security design),a logical grouping of NICs so NSG rules can reference workload roles instead of IP ranges,"notes,infrastructure-security-design"
Azure Firewall Premium (infrastructure security design),"the tier adding TLS inspection, IDPS, URL filtering, and web categories","notes,infrastructure-security-design"
